1 0	0	0	0
2 0	0	0	0
3 0	0	0	0
4 0	0	347950	0
5 575043	64520	389018	132107
6 315242	128145	336299	128230
7 319834	128870	257736	112782
8 288498	118050	301489	117537
9 254249	125564	243405	152999
10 233060	157925	253177	173092
11 254518	177873	219102	160050
12 210700	154927	202116	155476
13 203923	141090	220219	153068
14 260149	193369	297247	207474
15 306674	202606	279829	204374
16 158110	250642	93198	212707
17 168790	159601	213765	202285
18 229601	225088	249548	227104
19 253420	200403	193079	133823
20 171594	126856	209947	187778
21 203200	227735	176440	245344
22 159104	250983	153377	241338
23 122974	257877	109816	272399
24 87034	263157	80189	269718
25 81542	267073	66056	248961
26 58861	228732	66865	264715
27 57431	329641	26252	285261
28 33578	251544	62979	231453
29 59079	243628	28065	246270
30 69648	105490	179344	76478
31 215231	152746	197224	148903
32 167825	106402	111583	112676
33 129324	74530	190455	96089
34 195258	171951	164244	200437
35 149942	226131	187557	145773
36 177761	146417	120380	185109
37 172263	72195	334367	75615
38 311669	160361	133210	214847
39 65633	213577	52857	194187
40 65030	272926	108169	251772
41 147032	199878	172122	235386
42 188808	255178	197556	230652
43 192308	231572	181707	271995
44 182799	276622	156627	226086
45 163548	173444	234931	133461
46 268464	124704	243658	137051
47 213601	171260	166840	231735
48 177073	236618	182754	263522
49 127413	168314	151170	169372
50 183410	274702	117768	254801
51 179910	236569	177313	302505
52 191840	251780	189836	232768
53 124025	331962	235442	199563
54 210182	113701	82069	379768
55 121472	425980	261178	139605
56 258077	110934	183977	153256
57 103973	200164	95646	331711
58 207901	256113	256655	96562
59 209599	95420	163154	81815
60 112315	163456	87022	300369
61 218465	247447	333568	167123
62 276249	92928	147664	11049
63 33342	66345	75617	137605
64 124587	143585	172070	152203
65 215490	152247	137143	71452
66 155706	76228	206991	107207
67 158449	98166	135862	124624
68 147406	62347	216184	4145
69 326415	65	372715	0
70 364094	0	316226	0
71 332864	0	377502	0
72 415508	0	461560	0
73 467798	0	471826	0
74 451175	0	411464	0
75 354546	0	334722	0
76 303130	0	287143	0
77 376059	0	442302	0
78 418516	0	433888	0
79 516369	0	554205	0
