1 0	0	0	0
2 0	75881	29335	262225
3 118116	366957	144725	309110
4 149861	260959	160345	279141
5 184939	312342	207461	335647
6 205214	325785	209895	293102
7 185047	265154	234669	256497
8 237062	339812	252063	286401
9 214278	270156	177862	397333
10 296550	363041	278464	321293
11 237291	306078	177326	307760
12 184791	204900	250403	100622
13 163144	311030	165530	427098
14 263247	358491	265733	396257
15 239869	286835	292112	87920
16 282899	100008	125858	247251
17 117027	371582	213447	381003
18 130096	365915	99427	315756
19 241808	148996	267889	103228
20 132988	207670	147817	169119
21 294127	46077	224998	229055
22 134970	403619	180874	368747
23 272528	273095	265269	151383
24 113304	153616	135495	146563
25 273425	80187	222420	269149
26 158099	444295	190927	343704
27 265238	199517	187101	199071
28 57911	227518	158669	122752
29 147415	216282	133194	362312
30 209358	305749	222794	262955
31 165502	296198	207504	190167
32 218494	158238	136504	284362
33 189223	291174	313125	192199
34 249152	211455	171146	216053
35 256573	95616	235787	92473
36 203637	183604	225198	211127
37 319932	174938	288979	185600
38 179156	243670	234396	155751
39 254993	64624	214287	119055
40 195859	134402	151843	225783
41 219871	202652	339828	86430
42 302994	156901	222648	189711
43 222009	141946	204004	151864
44 144191	139540	100877	241901
45 177443	226344	269886	105749
46 257116	173477	188845	214239
47 168062	183621	207085	133035
48 163377	159239	91326	298648
49 192264	214231	251738	58513
50 263544	95398	281789	187881
51 210215	200751	243748	132651
52 205117	121891	60156	250444
53 66174	365664	133962	196617
54 161745	72901	242032	75660
55 271477	97754	153098	168483
56 174401	134899	285470	84689
57 201097	157256	64010	185685
58 50262	113588	71811	140223
59 181964	143993	278150	120896
60 208407	194480	234338	214810
61 291586	168437	197131	190560
62 102539	255908	206804	178173
63 261427	157365	252921	170086
64 285919	166291	281470	221062
65 279034	212619	221446	170408
66 243527	114832	248241	207175
67 294128	210689	413293	76695
68 296171	126106	200464	142870
69 193428	101872	150548	176827
70 260156	146047	303103	76732
71 230198	145789	274584	145903
72 322598	95810	223682	139996
73 174123	152593	249578	108976
74 259014	68858	261538	15834
75 252890	49134	217608	151335
76 228849	147318	277215	85996
77 220786	104573	159368	116824
78 183956	115570	268274	70108
79 359442	31691	332101	86522
80 260781	155898	268128	137450
81 206361	59629	116341	32958
82 180073	102124	308529	143061
83 530088	100337	453754	124317
84 256619	152366	281190	108665
85 207192	59974	199432	72794
86 262009	103943	388222	78945
87 480788	53816	421304	43252
88 296866	108333	246038	149649
89 303880	87952	283378	77758
90 209141	109018	233349	72082
91 364231	15815	336466	29534
92 240271	55422	375789	55519
93 420306	103890	362843	101890
94 347550	85901	248734	73910
95 129200	11405	145311	774
96 214731	630	233351	43553
97 216244	96865	329183	85808
98 397743	83575	306197	69839
99 326129	88297	267863	95831
100 283667	26842	310505	62611
101 234920	104877	297902	88555
102 427711	108543	389668	127122
103 389775	126750	370972	66609
104 221765	19715	204215	61543
105 221417	104706	235962	99583
106 319920	108787	444626	94972
107 399190	107472	244252	123169
108 202486	43192	200818	27108
109 137304	119669	176624	126346
110 283051	93227	309649	142543
111 417269	107692	394780	90002
112 278920	85360	193643	18723
113 129824	121365	198498	136090
114 282498	80858	305325	142052
115 288508	112080	337788	116355
116 357228	98382	262407	47378
117 203537	71577	237786	94873
118 268103	49578	277712	66660
119 308370	158143	303119	97167
120 329695	53067	318572	102949
121 266659	95802	293590	93598
122 322791	106076	302911	109420
123 267959	128850	273709	143550
124 331884	112293	355020	73158
125 312095	111656	329846	124428
126 369038	107667	320437	167185
127 205996	164785	207966	77201
128 239970	72339	151259	90559
129 142994	110033	232633	90826
130 313816	66770	374790	56877
131 342681	148568	248649	189599
132 189085	127288	184330	143911
133 139441	103745	110039	125588
134 242834	121815	380114	37369
135 378900	119695	255726	227955
136 194215	187738	242093	132054
137 237650	112822	130247	122459
138 114376	88399	152396	73908
139 163373	54067	206424	56155
140 216752	284590	242805	307975
141 316184	166973	281702	169694
142 177359	100684	180496	41422
143 238992	44409	207469	123805
144 203073	99775	287737	110420
145 267424	193119	316805	187746
146 345546	150652	274453	88011
147 181631	123292	206941	86218
148 315785	122525	280495	229147
149 238602	199335	167514	166929
150 142217	154036	123567	118957
151 164658	53446	221078	63072
152 167300	85292	202065	87936
153 254883	181158	235178	224675
154 189723	230060	215093	215362
155 206728	147554	242057	79591
156 280272	88187	247193	80967
157 187351	208483	170045	267974
158 192060	158234	196993	233059
159 196815	242209	247975	128622
160 334024	104332	276023	128663
161 167176	167975	154943	200621
162 203261	145372	167615	157819
163 225470	257616	288388	204701
164 270711	111227	248138	137497
165 160551	102950	136757	155363
166 190228	160165	139415	162240
167 178379	213708	208358	274580
168 242495	281512	220319	164464
169 122632	112395	88496	122263
170 80385	171809	112641	136153
171 53879	134134	80327	192864
172 174399	209985	171943	299780
173 184081	316650	211490	195782
174 133753	188994	122815	227182
175 120705	198718	61637	236451
176 145463	228541	158844	159531
177 155098	233248	223871	283685
178 199446	237999	239941	238498
179 176405	269186	88212	252378
180 154092	219080	177762	220739
181 208750	253792	185803	283174
182 218430	247933	229412	217197
183 184027	206774	145207	279177
184 91252	268007	165499	192000
185 216091	200467	170327	178199
186 213706	136940	243888	149412
187 203354	191914	201016	269300
188 126873	270052	122877	172901
189 212696	165797	226560	107902
190 186843	79732	201573	152849
191 226023	169546	215070	84913
192 182533	127207	145714	283672
193 162435	266907	251792	212501
194 263981	163292	225118	186432
195 209228	236752	248520	186985
196 239054	204816	145229	246827
197 163933	216831	189818	194781
198 195122	139727	251661	115059
199 248135	128473	261753	169100
200 232091	256336	132357	318829
201 231948	234362	267555	144989
202 192185	180295	233911	139586
203 268000	95323	233238	164279
204 182094	234665	104804	251101
205 159882	191077	191291	156453
