1 0	0	0	0	0	0	0	0
2 0	0	0	0	0	0	0	0
3 0	0	0	0	32	0	0	0
4 0	31	0	0	0	0	0	0
5 0	0	0	0	0	31	0	0
6 0	0	32	0	0	0	0	0
7 0	0	0	0	0	0	0	0
8 0	0	0	0	0	0	0	0
9 0	0	0	0	0	0	0	0
10 0	0	0	0	0	0	0	32
11 0	0	0	0	32	0	0	0
12 0	0	0	0	0	0	0	0
13 0	0	0	0	0	0	0	0
14 0	0	0	0	0	0	0	0
15 0	0	0	0	0	0	0	0
16 0	0	0	0	0	0	0	0
17 0	0	0	0	0	0	0	0
18 0	0	0	0	0	0	0	0
19 0	0	0	0	0	0	0	0
20 0	0	0	0	0	0	0	0
21 0	0	0	0	0	0	0	0
22 0	0	0	0	0	0	0	0
23 0	0	0	0	0	0	0	0
24 0	0	0	0	0	0	0	0
25 0	0	0	0	0	0	0	0
26 1228	1470	1601	1435	2512	5207	6196	6060
27 5507	9485	7125	8469	7995	7493	13291	7005
28 8265	7403	6532	13408	9106	8733	7321	7616
29 16192	9750	7467	7985	8522	17775	8054	7705
30 8522	7714	17548	7384	8919	6979	8176	16590
31 8362	8447	6325	8568	15846	8992	8615	6836
32 7622	14592	8554	9633	7597	8387	13131	7177
33 8482	8234	8367	15216	7897	6485	5714	5923
34 14646	7271	5205	3196	4579	10627	5140	4418
35 4765	5140	11176	6747	6076	7310	6872	15174
36 7256	7410	7912	8144	17249	7194	7991	7701
37 7429	16921	7758	7493	7106	6405	14708	6976
38 7109	5515	6750	13445	7076	8439	5741	6447
39 13544	7431	8158	7591	6479	14283	7372	6250
40 7725	7382	13993	6894	6024	7167	7017	12919
41 6481	7420	7374	5560	13491	7068	7437	7000
42 6175	14119	7071	6674	6558	6606	13368	6973
43 6236	6570	6311	14345	7270	6780	5326	5986
44 15657	8473	8728	5187	5358	15178	6168	5924
45 3440	4145	9328	4531	4144	1680	2501	3983
46 5390	6400	4804	3631	8211	4959	8350	8644
47 5639	15705	6681	8081	10153	6691	17273	7262
48 7109	9474	7617	15939	7869	6663	7898	8929
49 18232	9259	6858	6273	8478	16888	8027	8285
50 6452	8622	14691	7747	8257	7823	9373	15525
51 9503	9168	8462	8177	13889	8296	8772	8745
52 7184	13608	6303	7922	8019	8783	14919	6380
53 7021	6656	7661	11756	8749	6839	6485	4672
