1 0	0	0	0
2 0	0	105758	0
3 471938	46287	500405	129600
4 271216	173219	267858	152980
5 285699	145856	309192	163023
6 295588	146356	267049	116284
7 250443	117781	234302	127030
8 216066	115729	238879	137511
9 237206	143300	214304	158835
10 209339	169933	244215	148932
11 273127	138335	252796	153437
12 242849	195721	269929	158409
13 226981	166088	229283	151925
14 243816	121763	237817	174764
15 307017	154227	199973	175883
16 136989	200929	205669	109239
17 243689	111203	303249	164834
18 274999	200808	231122	182589
19 261317	138516	255622	159361
20 159046	166939	39604	94774
21 194	6392	102907	41666
22 231372	111265	311734	109040
23 333490	92422	258649	161461
24 223569	187619	224623	173209
25 259453	197702	250129	200944
26 208594	197324	241637	214207
27 226976	229355	210605	257109
28 228778	283860	263272	223638
29 270744	168482	226890	201398
30 302108	178114	246865	192943
31 267078	205304	314896	176792
32 135713	205327	156479	194932
33 292139	110045	327246	115330
34 239494	230224	159459	249096
35 192762	215913	334687	129953
36 360697	88563	191869	182993
37 139296	208944	239150	153530
38 227669	116487	122381	169419
39 92596	191422	44268	96033
40 3362	23413	22072	23457
41 110704	106454	152677	141494
42 215613	109190	271585	92361
43 215825	91594	205295	136559
44 207974	156901	203395	143130
45 210657	128786	213319	122498
46 225047	118576	208160	143648
47 229048	202036	257320	201867
48 241621	166176	250340	114054
49 244808	168298	223708	145304
50 237411	153411	203707	208258
51 187047	67794	209142	155043
52 275915	321796	321508	166811
53 302442	48865	203254	206586
54 142925	272387	286384	271257
55 365971	160644	340893	50982
56 183905	190383	60138	226016
57 174486	161592	242921	158808
58 185011	144013	83313	155527
59 24710	152095	92440	85108
60 118954	69736	72554	80968
61 26939	118302	24345	81509
62 24998	64	145571	9406
63 317532	29683	360311	35726
64 295478	14989	205072	15015
65 185987	28665	209072	15254
66 215829	16830	245222	31993
67 384359	35058	459553	18192
68 382432	61	361106	0
69 369868	0	320979	0
70 333987	0	331724	0
71 341802	0	339384	0
72 298431	0	404691	0
73 327538	0	322408	0
74 362084	0	238568	0
75 367114	0	372819	0
76 257187	0	268596	0
77 435506	0	442584	0
78 289974	0	370997	0
79 467653	0	465752	0
80 429027	0	368191	0
81 268384	0	161453	0
82 122330	0	121979	0
83 197205	0	312702	0
84 310896	0	293871	0
85 363443	0	327529	0
86 263218	0	252207	0
87 187467	0	160727	0
88 178380	0	198567	0
89 182431	0	204371	0
90 212934	0	212336	0
91 239118	0	240155	0
92 339559	0	394391	0
93 286595	0	193475	0
94 173889	0	230061	0
95 231901	0	173117	0
96 209067	0	299273	0
97 380227	0	511163	0
98 369315	0	149534	0
99 134337	0	132658	0
100 210748	0	265147	0
101 281170	0	288184	0
102 326789	0	359798	0
103 401958	0	446196	0
104 302761	0	140641	0
105 100962	0	96619	0
106 143057	0	128816	0
107 102224	0	182685	0
108 288726	0	301724	0
109 255801	33	260361	32
110 271884	0	272810	0
111 245383	0	190963	0
112 221093	0	197621	0
113 186497	0	268134	0
114 330318	0	407764	0
115 353113	0	459668	0
116 475788	0	230161	0
117 237404	0	327404	0
118 338311	0	281590	0
119 239423	0	265070	0
120 262860	32	258803	32
121 293554	0	333410	0
122 314485	0	246207	0
123 236675	0	185078	0
124 222185	0	296912	0
125 328145	0	373569	0
126 323064	0	340593	0
127 367745	0	360099	0
128 337442	0	361545	0
129 410860	0	333417	0
130 246401	0	212502	0
131 193443	0	180206	0
132 174936	32	177724	31
133 225481	0	268002	0
134 285217	0	260509	0
135 209619	0	164655	0
136 157906	0	214702	0
137 298597	0	274515	0
138 240845	0	216496	0
139 160531	0	249302	0
140 325430	0	426202	0
141 409516	0	294841	0
142 197702	0	134356	0
143 145828	32	188259	32
144 288803	0	264808	0
145 272998	0	323141	0
146 311269	0	249504	0
147 226076	0	255371	0
148 248323	0	287373	0
149 360648	0	361105	0
150 316121	0	328667	0
151 343237	0	337111	0
152 304406	0	270735	0
153 265981	0	230038	0
154 221710	0	238926	32
155 307543	32	396848	0
156 343669	0	219923	0
157 212565	0	287971	0
158 251660	0	177489	0
159 184823	0	336475	0
160 317961	0	261430	0
161 391001	0	302939	0
162 215257	0	256921	0
163 312221	0	281060	0
164 255686	0	292115	0
165 257067	0	267476	0
166 266515	0	242942	31
167 302648	32	351467	140
168 349587	274	293851	213
169 270188	15772	310651	17438
170 308052	15633	342794	13885
171 400563	30018	387074	29772
172 311071	29801	391934	28837
173 413724	0	200266	51034
174 248127	61001	273047	31595
175 269917	37496	269296	113990
176 74116	248649	205	259092
177 278	247398	31857	306562
178 90241	345738	112546	268316
179 54175	171115	33811	136411
180 74543	70253	66204	101016
181 63090	257219	114034	266442
182 76882	242820	63306	258618
183 149999	115727	274418	125
184 344796	128	307600	0
185 264561	0	243516	0
186 212064	0	275259	142
187 336408	280	322388	282
188 333051	213	387245	15714
189 448568	31345	387951	15247
190 262042	62	153457	0
191 107880	63	88749	6294
192 88540	29675	148704	23427
193 236093	8876	152730	22554
194 118580	21315	99958	7509
195 179	41239	310	162923
196 128	238477	0	217526
197 0	191125	0	174829
198 0	281614	0	338269
199 0	285527	0	315051
200 0	345711	0	374734
201 0	364092	0	295623
202 0	269938	0	246908
203 0	241890	0	229062
204 32	231105	32	328972
