1 0	0	0	0
2 0	100917	15703	347018
3 149801	425814	192823	320124
4 105949	264863	107724	237818
5 136449	238302	177129	191712
6 211836	166020	239601	250376
7 253910	280193	314437	230948
8 336681	231186	247252	238999
9 275289	252396	280805	202322
10 147455	248433	234852	280446
11 346087	180697	180080	222778
12 124878	338799	246619	248867
13 292095	99720	295950	160607
14 193427	264774	39625	318532
15 66322	317246	210042	188366
16 272262	85242	252175	141178
17 158833	258934	72804	313849
18 203485	210865	223921	137187
19 166070	95392	162950	131668
20 72237	263894	102411	278334
21 276279	126105	334163	19566
22 203719	44903	130962	93542
23 233456	62836	321223	26334
24 205894	80385	70819	75854
25 93120	49415	71586	62375
26 106831	71236	117449	108486
27 161708	101136	218747	143247
28 203751	155259	271655	67220
29 161915	169411	113327	266748
30 211196	147461	243003	29197
31 120367	149763	151201	210844
32 301340	103218	274153	151101
33 197879	241891	347164	139150
34 534312	40375	285712	196677
35 81793	322661	232660	158944
36 378538	144	480271	333
37 449026	64475	171153	235739
38 70322	308493	272179	137233
39 472525	71	477288	79251
40 209057	226354	136884	254383
41 340356	105667	457270	0
42 332364	188107	179901	268852
43 250221	79547	227168	288
44 239101	67432	270316	93685
45 207101	75669	230029	128636
46 253394	216317	305752	198742
47 334334	76910	183911	53887
48 159998	43979	163928	50188
49 131173	72546	183225	56536
50 248806	73298	234290	96922
51 216298	104508	333717	51409
52 300048	153647	249498	155524
53 368166	216	267886	99177
54 76984	204294	179460	153131
55 240531	48896	200671	242
56 215555	132	222029	63
57 193919	26263	81208	198629
58 53893	317667	264371	181220
59 354947	31960	296395	278
60 261774	146	121478	158828
61 63054	254367	188775	147929
62 297698	54997	314718	3079
63 250858	0	139173	144538
64 86462	233451	117408	100285
65 307758	9391	394017	72
66 271375	69	339787	0
67 269600	46817	38250	47064
68 170763	136	332722	0
69 393839	0	333100	50144
70 301445	64344	394252	18502
71 297134	75558	204951	70500
72 269136	0	296265	29065
73 224245	47491	269002	18239
74 284884	71	314984	1597
75 390376	15191	308458	13639
76 252646	0	300599	0
77 347131	63	329354	63
78 323485	0	329198	0
79 168131	0	78862	0
80 176041	0	336189	0
81 377492	0	295923	0
82 312436	0	275682	0
83 212274	69	222468	68
84 255285	0	235080	0
85 203724	0	198420	114
86 236083	113	260185	0
87 243453	0	217682	0
88 219041	80	227294	80
89 258962	0	276387	0
90 230890	0	263544	0
91 324457	0	300164	0
92 298811	0	358788	0
93 360333	0	329179	0
94 223889	0	229426	0
95 284353	0	251602	0
96 341142	0	456933	0
97 386671	0	295521	0
98 388864	0	411374	0
99 206192	0	91355	0
100 212189	0	284878	0
101 292053	0	278074	0
102 244222	0	298933	0
103 329601	0	288675	0
104 269523	0	273977	0
105 201106	32	159370	32
106 232249	0	255161	0
107 306125	0	345026	0
108 382778	0	399084	0
109 310373	0	144831	0
110 112138	0	258853	0
111 323160	0	308636	0
112 286515	0	333440	0
113 333368	0	371494	0
114 339527	0	295779	0
115 271452	0	134435	0
116 112252	0	190039	31
117 306158	32	309173	0
118 231023	0	232182	0
119 202743	0	243133	0
120 310017	0	190955	0
121 217728	0	327287	0
122 277897	0	324299	0
123 381906	0	273154	0
124 274265	0	341304	0
125 352059	0	490555	0
126 405649	0	201368	0
127 216471	0	228116	32
128 202988	32	221112	0
129 311010	0	233989	0
130 164121	0	366005	0
131 426380	0	410885	0
132 384917	0	226988	0
133 224135	0	362807	0
134 376816	0	356971	0
135 299538	0	243230	0
136 279013	0	290314	0
137 345984	0	313097	0
138 242251	0	198832	32
139 135555	32	139334	0
140 180467	0	254526	0
141 297180	0	335535	0
142 401753	0	377137	0
143 233381	0	210953	0
144 239628	0	292121	0
145 512905	0	462758	0
146 173985	0	202819	0
147 354077	0	231173	0
148 140006	0	216798	140
149 220650	138	138763	69
150 160887	15034	247922	15189
151 169630	0	178687	45
152 245213	15557	268778	29334
153 290241	7467	309303	0
154 387341	0	310308	15092
155 305318	15257	328018	63
156 252621	0	251776	19345
157 156727	25806	141955	6142
158 194304	142	121474	29013
159 191560	29096	307022	50387
160 245832	49910	204110	32
161 199151	30238	200241	64036
162 156936	48861	174642	15267
163 208871	30316	213189	42569
164 177964	81416	199075	86260
165 196621	83843	210972	88269
166 263244	70861	204953	48641
167 108789	88751	120005	89024
168 259473	142	218887	116053
169 233129	131234	343121	30422
170 275317	46968	139992	155174
171 227244	175806	312387	54233
172 268373	30330	265881	30538
173 187845	53311	115254	209614
174 120963	273870	260707	118156
175 328535	0	202758	38529
176 67859	83630	71735	161973
177 157540	185659	160945	104916
178 92646	126754	84754	106161
179 166369	46440	154012	186641
180 132508	182946	248114	30520
181 172527	118887	19675	247021
182 92024	189549	229105	66928
