1 0	0	0	0	0	0	77917	0
2 161423	0	170781	0	176069	0	223145	0
3 241512	0	196870	0	175554	0	175796	0
4 166738	0	125221	0	116535	0	155133	0
5 175269	0	143798	0	153631	0	159501	0
6 129614	0	186045	0	178645	0	106729	0
7 124579	226	199297	226	172787	71	98227	214
8 98145	15780	173049	15561	163116	64	85454	64
9 113037	30517	171547	30457	152403	0	84094	0
10 82283	0	74363	38664	148910	38713	188578	0
11 110641	0	87143	0	74768	0	32813	38027
12 195	38188	483	49065	418	124384	0	160697
13 0	153844	0	113590	0	115528	0	143849
14 0	139220	0	150845	0	154000	0	171781
15 0	239717	0	274805	0	256396	0	248822
16 0	289808	0	302232	0	344828	0	444523
17 0	437507	0	425137	0	509575	0	454273
18 0	381403	0	360418	0	415899	0	499670
19 0	426729	0	405264	0	413049	0	475579
20 0	318914	0	124010	0	91786	0	128049
21 0	166532	0	191027	0	144025	144	30960
22 144	188562	217	252398	15750	95387	15579	30963
23 0	164402	33	259996	97	244994	64	133625
24 0	12600	10619	0	13869	91015	0	201984
25 0	243055	0	224285	0	107976	14154	38766
26 14202	146773	0	263245	146	206050	21853	115345
27 63975	49190	104480	65	139913	0	184759	0
28 194420	0	152732	0	149129	0	148842	0
29 159181	0	145001	0	201273	0	247252	0
30 170906	0	98819	0	170326	0	166596	0
31 185219	0	256784	0	104583	0	157481	0
32 320156	0	208577	0	59616	0	160846	0
33 257517	0	268866	0	184469	0	41803	0
34 20223	0	150143	0	228413	0	193857	0
35 98190	0	14125	0	92086	0	97142	0
36 99443	0	179308	0	233783	0	175851	0
37 54041	0	107030	0	222571	0	271207	0
38 203577	0	71887	0	72696	0	195758	0
39 178712	0	113371	0	58298	0	97	0
40 80825	0	192330	0	318486	0	390727	0
41 287939	0	199935	0	195013	0	261248	0
42 351663	0	435885	0	414087	0	408401	0
43 448742	0	382311	0	387998	33	487751	33
44 422866	0	471383	0	460388	0	152611	0
45 14949	0	169936	0	211044	0	41755	0
46 86902	0	248745	0	229011	0	66345	0
47 142	0	19945	0	127714	0	228579	0
48 301865	0	180928	0	30897	0	104230	0
49 192569	0	233495	0	196293	33	134556	33
50 86547	0	121464	0	143072	0	248202	0
51 204456	0	24908	0	92228	0	365979	0
52 365762	0	127373	0	58766	0	65527	0
53 105643	0	161488	0	221048	0	191758	0
54 148767	0	176657	0	156018	0	130669	0
55 126579	33	98693	33	141830	0	129665	0
