1 0	0	0	0	0	0	0.04	0
2 0.09	0	0.09	0	0.09	0	0.12	0
3 0.14	0	0.13	0	0.13	0	0.13	0
4 0.14	0	0.15	0	0.13	0	0.15	0
5 0.16	0	0.14	0	0.12	0	0.11	0
6 0.1	0	0.1	0	0.11	0	0.11	0
7 0.11	0	0.1	0	0.13	0	0.11	0
8 0.1	0	0.1	0	0.09	0	0.11	0
9 0.11	0	0.13	0	0.13	0	0.17	0
10 0.2	0	0.18	0	0.14	0	0.15	0
11 0.14	0	0.1	0	0.15	0	0.14	0
12 0.07	0	0.08	0	0.15	0	0.17	0
13 0.16	0	0.09	0	0.04	0	0.12	0
14 0.18	0	0.19	0	0.21	0	0.12	0
15 0.04	0	0.13	0	0.2	0	0.23	0
16 0.2	0	0.13	0	0.12	0	0.18	0
17 0.21	0	0.26	0	0.19	0	0.11	0
18 0.12	0	0.13	0	0.18	0	0.15	0
19 0.08	0	0.09	0	0.1	0	0.1	0
20 0.09	0	0.1	0	0.12	0	0.12	0
21 0.15	0	0.15	0	0.09	0	0.12	0
22 0.13	0	0.12	0	0.11	0	0.11	0
23 0.16	0	0.12	0	0.08	0	0.14	0
24 0.22	0	0.15	0	0.04	0	0.04	0
25 0.18	0	0.26	0	0.23	0	0.16	0
26 0.07	0	0.06	0	0.16	0	0.1	0
27 0.07	0	0.11	0	0.06	0	0.06	0
28 0.1	0	0.1	0	0.11	0	0.09	0
29 0.08	0	0.1	0	0.06	0	0.07	0
30 0.08	0	0.09	0	0.06	0	0.07	0
31 0.07	0	0.08	0	0.11	0	0.11	0
32 0.12	0	0.09	0	0.1	0	0.09	0
33 0.06	0	0.07	0	0.05	0	0.09	0
34 0.1	0	0.1	0	0.09	0	0.09	0
35 0.11	0	0.17	0	0.12	0	0.11	0
36 0.2	0	0.09	0	0.04	0	0.19	0
37 0.27	0	0.11	0	0.01	0	0.1	0
38 0.27	0	0.27	0	0.09	0	0	0
39 0	0	0	0	0	0	0.05	0
40 0.05	0	0	0	0.09	0	0.09	0
41 0.1	0	0.15	0	0.04	0	0.02	0
42 0.15	0	0.2	0	0.07	0	0	0
43 0.06	0	0.2	0	0.24	0	0.12	0
44 0.03	0	0.07	0	0.15	0	0.12	0
45 0.05	0	0.09	0	0.12	0	0.07	0
46 0.13	0	0.15	0	0.08	0	0.12	0
47 0.16	0	0.1	0	0.06	0	0.06	0
48 0.15	0	0.19	0	0.11	0	0.11	0
49 0.12	0	0.1	0	0.06	0	0.07	0
50 0.16	0	0.13	0	0.08	0	0.09	0
51 0.08	0	0.1	0	0.15	0	0.11	0
52 0.09	0	0.12	0	0.14	0	0.13	0
53 0.12	0	0.1	0	0.09	0	0.09	0
54 0.16	0	0.14	0	0.05	0	0.04	0
55 0.09	0	0.08	0	0.07	0	0.09	0
56 0.1	0	0.08	0	0.07	0	0.09	0
57 0.07	0	0.09	0	0.06	0	0.04	0
58 0.1	0	0.08	0	0.08	0	0.08	0
59 0.07	0	0.08	0	0.07	0	0.07	0
60 0.07	0	0.08	0	0.07	0	0.04	0
61 0.05	0	0.07	0	0.04	0	0.04	0
62 0.05	0	0.07	0	0.07	0	0.05	0
63 0.09	0	0.13	0	0.15	0	0.18	0
64 0.17	0	0.12	0	0.15	0	0.12	0
65 0.06	0	0.09	0	0.12	0	0.07	0
66 0.04	0	0.09	0	0.16	0	0.16	0
67 0.14	0	0.16	0	0.16	0	0.07	0
68 0.05	0	0.07	0	0.03	0	0.06	0
69 0.1	0	0.08	0	0.09	0	0.09	0
70 0.09	0	0.07	0	0.07	0	0.1	0
71 0.09	0	0.08	0	0.1	0	0.09	0
72 0.04	0	0.09	0	0.15	0	0.09	0
73 0.08	0	0.15	0	0.17	0	0.07	0
74 0.07	0	0.13	0	0.08	0	0.06	0
75 0.12	0	0.16	0	0.11	0	0.04	0
76 0.05	0	0.07	0	0.09	0	0.13	0
77 0.16	0	0.08	0	0.05	0	0.07	0
78 0.07	0.01	0.1	0.02	0.09	0.03	0.09	0.02
79 0.07	0.03	0.07	0.03	0.11	0	0.05	0.04
80 0.04	0.04	0.12	0	0.15	0.01	0.07	0.06
81 0.06	0.05	0.1	0	0.15	0	0.16	0
82 0.04	0.09	0	0.08	0	0	0	0.05
83 0	0.13	0	0.09	0	0.07	0	0.14
84 0	0.15	0	0.09	0	0.02	0	0.05
85 0	0.09	0	0.11	0	0.08	0	0.07
86 0	0.13	0	0.09	0	0.02	0	0.01
87 0	0.02	0	0.05	0	0.14	0	0.11
88 0	0.1	0	0.13	0	0.12	0	0.21
89 0	0.24	0	0.19	0	0.22	0	0.22
90 0	0.13	0	0.06	0	0.05	0	0.05
91 0	0.01	0	0.08	0	0.08	0	0.07
92 0	0.12	0	0.05	0	0.05	0	0.17
93 0	0.14	0	0.03	0	0.02	0	0.09
94 0	0.16	0	0.2	0	0.12	0	0.05
95 0	0.12	0	0.18	0	0.19	0	0.24
96 0	0.15	0	0.01	0	0.05	0	0.06
97 0	0.03	0	0.08	0	0.07	0	0.04
98 0	0.11	0	0.12	0	0.07	0	0.15
99 0	0.15	0	0.07	0	0.06	0	0.13
100 0	0.13	0	0.07	0	0.03	0	0.01
101 0	0.08	0	0.11	0	0.09	0	0.09
102 0	0.11	0	0.08	0	0.03	0	0.06
103 0	0.11	0	0.12	0	0.08	0	0.07
104 0	0.13	0	0.16	0	0.16	0	0.08
105 0	0.01	0	0.01	0	0.02	0	0.06
106 0	0.13	0	0.12	0	0.11	0	0.11
107 0	0.14	0	0.15	0	0.08	0	0.06
108 0	0.13	0	0.16	0	0.11	0	0.07
109 0	0.03	0	0.03	0	0.07	0	0.15
110 0	0.13	0	0.02	0	0	0	0.04
111 0	0.05	0	0.01	0	0.06	0	0.11
112 0	0.13	0	0.14	0	0.11	0	0.09
113 0	0.03	0	0.03	0	0.03	0	0
114 0	0.04	0	0.1	0	0.08	0	0.07
115 0	0.07	0	0.08	0	0.11	0	0.13
116 0	0.11	0	0.07	0	0.08	0	0.11
117 0	0.12	0	0.12	0	0.14	0	0.13
118 0	0.11	0	0.11	0	0.12	0	0.11
119 0	0.12	0	0.14	0	0.11	0	0.08
120 0	0.08	0	0.07	0	0.08	0	0.16
121 0	0.19	0	0.09	0	0.01	0	
