1 0	0	0	0	0	0	0	0
2 17034	0	80844	0	124272	0	124511	0
3 125568	0	142285	0	153925	0	148943	0
4 145082	0	142374	0	144817	0	130480	0
5 127606	0	125450	0	141532	0	133402	0
6 118076	0	149735	0	130922	0	116278	0
7 134784	0	172687	0	164714	0	87300	0
8 88134	0	113378	0	97335	0	102117	0
9 115086	0	87957	0	48013	0	80247	0
10 110591	0	124441	0	131309	0	86161	0
11 85722	0	139893	0	147263	0	155772	0
12 118851	0	91270	0	134372	0	160717	0
13 137618	0	91406	0	114123	0	147466	0
14 193947	0	178865	0	105461	0	133224	0
15 171142	0	184056	0	202566	0	134929	0
16 73117	0	43045	0	111636	0	190428	0
17 118615	0	56352	0	16869	0	54890	0
18 71773	31	50374	31	32288	0	43109	0
19 73167	0	29453	0	41484	0	76030	0
20 64029	0	118033	0	154147	0	73285	0
21 65784	0	72318	0	97383	0	96135	0
22 80402	0	103488	0	72807	0	107164	0
23 128837	0	75768	0	87803	0	150853	0
24 127356	0	72456	0	25106	0	51321	0
25 103376	0	118358	0	65519	0	138773	0
26 160425	0	69265	0	68052	0	47658	0
27 126421	0	112594	0	49420	0	167547	0
28 162333	0	38481	0	132586	0	222692	0
29 128418	0	26662	0	64232	0	69984	0
30 66287	0	117506	0	93353	0	67405	0
31 103243	0	129862	0	89668	0	67812	0
32 103042	0	69346	0	3032	0	80066	0
33 107349	0	32556	0	30593	0	108976	0
34 113789	0	35698	0	0	0	43347	0
35 174399	0	168031	0	96754	0	161608	0
36 158284	0	108464	0	102432	0	114291	0
37 124825	0	114328	0	124914	0	128092	0
38 126945	0	138959	0	134549	0	84748	0
39 58664	0	44817	0	67371	0	106165	0
40 84225	0	79819	0	78754	0	81855	0
41 71652	0	67566	0	99478	0	117781	0
42 131119	0	130844	0	89869	0	71823	32
43 122699	32	153521	0	112237	0	90674	0
44 106910	0	149322	0	163400	0	158211	0
45 83134	0	1608	0	23382	0	37639	0
46 14949	0	15168	0	14582	0	46925	0
47 49030	0	128	0	30724	0	56709	0
48 65312	0	40119	30	58850	32	67380	0
49 67502	0	101808	0	47290	0	88443	0
50 163402	0	84165	0	59847	0	146211	0
51 147772	0	96663	0	120438	0	147526	0
52 125094	0	55773	0	109260	0	209774	0
53 180855	0	123529	0	72764	0	105236	31
54 144288	31	85792	0	98679	0	107921	0
55 95284	0	99276	0	60355	0	100938	0
56 134398	0	108989	0	114946	0	152879	0
57 165231	0	104240	0	44155	0	72844	0
58 157082	0	211934	0	208997	0	137163	0
59 71882	31	99888	31	140533	0	141695	0
60 135796	0	79924	0	64742	0	126474	0
61 130837	0	90097	0	28383	0	56237	0
62 153615	0	192725	0	163323	0	66524	0
63 80128	0	172366	0	120106	0	75090	0
64 81146	0	104339	0	127434	142	66973	310
65 75736	170	149953	12128	110453	15265	59293	3104
66 100399	62	131454	0	131786	14712	96705	29240
67 31719	14516	55595	0	165880	0	215452	0
68 154981	24057	69661	37912	37859	13740	51418	0
69 34486	55973	204	96861	15052	85096	14654	87568
70 0	83987	29708	84177	29704	54178	1471	84535
71 36504	143295	34198	108166	0	122648	0	123631
72 2926	93286	21215	75760	40442	101216	22212	81264
73 33	115623	66053	150260	150781	37090	99932	202
74 81636	142	146295	70	79142	15326	89723	15247
75 193616	0	134454	62	29873	29748	72520	29451
76 157869	32	175193	74	177030	74	89234	38398
77 68542	38010	139935	0	127917	74	54282	73
78 68	55420	125	53620	58	75289	31	137859
79 31	114915	0	86748	0	94234	0	76759
80 0	62733	0	115358	0	82797	0	57024
81 0	89280	0	93322	0	65352	71	82316
82 71	181165	0	242155	0	208625	0	146226
83 0	140016	0	170008	0	123880	136	31318
84 264	75602	232	185871	15143	146339	14929	55091
85 62	121738	0	230889	9132	220946	30273	91455
