1 0	0	0	0
2 0	0	0	0
3 0	0	0	0
4 0	0	0	0
5 332435	0	643540	45518
6 466685	172612	337115	210534
7 356788	184027	347563	148238
8 256758	104135	186791	111816
9 287900	87049	319259	105095
10 233187	160919	299153	162386
11 414211	119645	344836	176422
12 392871	163253	348551	178679
13 337667	168640	392019	122920
14 241107	240157	283905	149614
15 345056	30391	369250	20850
16 250633	167361	167581	350613
17 194692	189141	250550	9388
18 292336	40645	274228	36735
19 211995	133739	154240	232868
20 289132	111002	387178	30289
21 341210	20736	184036	138128
22 209178	209303	322686	73826
23 330242	20196	301164	18606
24 198747	62379	174551	278910
25 261026	248618	258172	53315
26 234225	63236	239538	276117
27 286423	268551	318016	68876
28 207302	112224	198246	80194
29 150824	33781	52651	66847
30 92250	130882	62125	141661
31 97386	116026	94969	230283
32 128645	210766	189125	154536
33 109365	240688	193493	171428
34 151638	181151	103845	231859
35 214596	153548	108235	167566
36 13530	321662	234318	223630
37 231371	159425	13278	304329
38 6064	364689	186749	228808
39 332274	117991	149320	357218
40 136	417556	37928	188159
41 334606	30542	459967	95451
42 168576	336870	67275	285128
43 262039	53721	200110	234636
44 65356	310009	151254	197495
45 113996	289500	116690	276960
46 118901	319039	53689	407991
47 87013	305123	99848	299375
48 56265	395702	104673	341033
49 85649	303662	54937	319748
50 78995	191776	106041	134595
51 122863	210566	123001	214522
52 209383	169297	202714	184137
53 171669	243580	266789	148409
54 191296	181317	29971	245464
55 44325	213560	170009	137596
56 214756	172958	78240	325393
57 15588	311401	60074	233094
58 126668	99548	223533	26649
59 213464	31383	71263	118085
60 29866	194392	30061	239106
61 9431	238153	51115	162792
62 203142	58020	159562	70
63 45529	61759	108360	155250
64 214480	136360	321659	70060
65 306170	36515	234367	30016
66 235323	18482	260810	22661
67 243401	31848	277295	9397
68 283039	34089	241824	33841
69 201726	16747	241690	39644
70 286787	22600	201684	7579
71 123821	42694	187755	53497
72 312084	18508	372437	7064
73 381949	7033	379074	0
74 476890	0	399317	63
75 311810	63	404460	0
76 400613	0	336478	0
77 404336	0	454884	0
78 410818	0	403320	0
